iter	Passed	Remaining
0	4	410
1	8	416
2	12	402
3	16	389
4	20	382
5	24	380
6	28	375
7	32	368
8	35	362
9	39	358
10	44	359
11	48	354
12	52	348
13	55	342
14	60	340
15	63	333
16	67	329
17	71	325
18	76	324
19	79	319
20	83	314
21	87	310
22	91	306
23	95	301
24	99	297
25	103	294
26	107	290
27	111	286
28	115	282
29	119	278
30	123	274
31	127	269
32	130	265
33	135	262
34	138	257
35	143	254
36	147	250
37	151	246
38	155	243
39	159	239
40	163	235
41	167	231
42	171	227
43	175	222
44	179	219
45	183	215
46	187	211
47	191	207
48	195	202
49	199	199
50	203	195
51	206	190
52	210	186
53	214	183
54	218	179
55	222	175
56	226	170
57	230	166
58	234	162
59	238	158
60	242	154
61	246	150
62	250	146
63	253	142
64	257	138
65	261	134
66	265	130
67	269	126
68	273	123
69	277	119
70	281	115
71	285	111
72	289	107
73	293	103
74	297	99
75	301	95
76	304	91
77	308	87
78	312	83
79	317	79
80	322	75
81	326	71
82	330	67
83	334	63
84	339	59
85	343	55
86	347	51
87	351	47
88	355	43
89	359	39
90	363	35
91	366	31
92	370	27
93	374	23
94	378	19
95	382	15
96	386	11
97	390	7
98	394	3
99	398	0
